Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Year,States,States Code,Count
Brain and Other Nervous System,31010-31040,Female,F,1999,Alabama,1,129
Brain and Other Nervous System,31010-31040,Female,F,1999,Alaska,2,19
Brain and Other Nervous System,31010-31040,Female,F,1999,Arizona,4,163
Brain and Other Nervous System,31010-31040,Female,F,1999,Arkansas,5,76
Brain and Other Nervous System,31010-31040,Female,F,1999,California,6,895
Brain and Other Nervous System,31010-31040,Female,F,1999,Colorado,8,111
Brain and Other Nervous System,31010-31040,Female,F,1999,Connecticut,9,112
Brain and Other Nervous System,31010-31040,Female,F,1999,Delaware,10,33
Brain and Other Nervous System,31010-31040,Female,F,1999,Florida,12,559
Brain and Other Nervous System,31010-31040,Female,F,1999,Georgia,13,219
Brain and Other Nervous System,31010-31040,Female,F,1999,Hawaii,15,23
Brain and Other Nervous System,31010-31040,Female,F,1999,Idaho,16,36
Brain and Other Nervous System,31010-31040,Female,F,1999,Illinois,17,361
Brain and Other Nervous System,31010-31040,Female,F,1999,Indiana,18,217
Brain and Other Nervous System,31010-31040,Female,F,1999,Iowa,19,92
Brain and Other Nervous System,31010-31040,Female,F,1999,Kansas,20,75
Brain and Other Nervous System,31010-31040,Female,F,1999,Kentucky,21,129
Brain and Other Nervous System,31010-31040,Female,F,1999,Louisiana,22,128
Brain and Other Nervous System,31010-31040,Female,F,1999,Maine,23,47
Brain and Other Nervous System,31010-31040,Female,F,1999,Maryland,24,164
Brain and Other Nervous System,31010-31040,Female,F,1999,Massachusetts,25,224
Brain and Other Nervous System,31010-31040,Female,F,1999,Michigan,26,318
Brain and Other Nervous System,31010-31040,Female,F,1999,Minnesota,27,150
Brain and Other Nervous System,31010-31040,Female,F,1999,Missouri,29,190
Brain and Other Nervous System,31010-31040,Female,F,1999,Montana,30,32
Brain and Other Nervous System,31010-31040,Female,F,1999,Nebraska,31,67
Brain and Other Nervous System,31010-31040,Female,F,1999,Nevada,32,59
Brain and Other Nervous System,31010-31040,Female,F,1999,New Hampshire,33,35
Brain and Other Nervous System,31010-31040,Female,F,1999,New Jersey,34,313
Brain and Other Nervous System,31010-31040,Female,F,1999,New Mexico,35,57
Brain and Other Nervous System,31010-31040,Female,F,1999,New York,36,616
Brain and Other Nervous System,31010-31040,Female,F,1999,North Carolina,37,220
Brain and Other Nervous System,31010-31040,Female,F,1999,North Dakota,38,22
Brain and Other Nervous System,31010-31040,Female,F,1999,Ohio,39,385
Brain and Other Nervous System,31010-31040,Female,F,1999,Oklahoma,40,112
Brain and Other Nervous System,31010-31040,Female,F,1999,Oregon,41,90
Brain and Other Nervous System,31010-31040,Female,F,1999,Pennsylvania,42,405
Brain and Other Nervous System,31010-31040,Female,F,1999,Rhode Island,44,43
Brain and Other Nervous System,31010-31040,Female,F,1999,South Carolina,45,114
Brain and Other Nervous System,31010-31040,Female,F,1999,Tennessee,47,141
Brain and Other Nervous System,31010-31040,Female,F,1999,Texas,48,609
Brain and Other Nervous System,31010-31040,Female,F,1999,Utah,49,52
Brain and Other Nervous System,31010-31040,Female,F,1999,Vermont,50,21
Brain and Other Nervous System,31010-31040,Female,F,1999,Virginia,51,191
Brain and Other Nervous System,31010-31040,Female,F,1999,Washington,53,226
Brain and Other Nervous System,31010-31040,Female,F,1999,West Virginia,54,62
Brain and Other Nervous System,31010-31040,Female,F,1999,Wisconsin,55,189
Brain and Other Nervous System,31010-31040,Female,F,2000,Alabama,1,146
Brain and Other Nervous System,31010-31040,Female,F,2000,Arizona,4,144
Brain and Other Nervous System,31010-31040,Female,F,2000,Arkansas,5,92
Brain and Other Nervous System,31010-31040,Female,F,2000,California,6,864
Brain and Other Nervous System,31010-31040,Female,F,2000,Colorado,8,120
Brain and Other Nervous System,31010-31040,Female,F,2000,Connecticut,9,124
Brain and Other Nervous System,31010-31040,Female,F,2000,Delaware,10,24
Brain and Other Nervous System,31010-31040,Female,F,2000,Florida,12,614
Brain and Other Nervous System,31010-31040,Female,F,2000,Georgia,13,213
Brain and Other Nervous System,31010-31040,Female,F,2000,Hawaii,15,30
Brain and Other Nervous System,31010-31040,Female,F,2000,Idaho,16,43
Brain and Other Nervous System,31010-31040,Female,F,2000,Illinois,17,370
Brain and Other Nervous System,31010-31040,Female,F,2000,Indiana,18,184
Brain and Other Nervous System,31010-31040,Female,F,2000,Iowa,19,103
Brain and Other Nervous System,31010-31040,Female,F,2000,Kansas,20,93
Brain and Other Nervous System,31010-31040,Female,F,2000,Kentucky,21,126
Brain and Other Nervous System,31010-31040,Female,F,2000,Louisiana,22,122
Brain and Other Nervous System,31010-31040,Female,F,2000,Maine,23,66
Brain and Other Nervous System,31010-31040,Female,F,2000,Maryland,24,157
Brain and Other Nervous System,31010-31040,Female,F,2000,Massachusetts,25,245
Brain and Other Nervous System,31010-31040,Female,F,2000,Michigan,26,277
Brain and Other Nervous System,31010-31040,Female,F,2000,Minnesota,27,116
Brain and Other Nervous System,31010-31040,Female,F,2000,Missouri,29,181
Brain and Other Nervous System,31010-31040,Female,F,2000,Montana,30,26
Brain and Other Nervous System,31010-31040,Female,F,2000,Nebraska,31,51
Brain and Other Nervous System,31010-31040,Female,F,2000,Nevada,32,42
Brain and Other Nervous System,31010-31040,Female,F,2000,New Hampshire,33,41
Brain and Other Nervous System,31010-31040,Female,F,2000,New Jersey,34,287
Brain and Other Nervous System,31010-31040,Female,F,2000,New Mexico,35,53
Brain and Other Nervous System,31010-31040,Female,F,2000,New York,36,700
Brain and Other Nervous System,31010-31040,Female,F,2000,North Carolina,37,238
Brain and Other Nervous System,31010-31040,Female,F,2000,North Dakota,38,16
Brain and Other Nervous System,31010-31040,Female,F,2000,Ohio,39,357
Brain and Other Nervous System,31010-31040,Female,F,2000,Oklahoma,40,113
Brain and Other Nervous System,31010-31040,Female,F,2000,Oregon,41,114
Brain and Other Nervous System,31010-31040,Female,F,2000,Pennsylvania,42,470
Brain and Other Nervous System,31010-31040,Female,F,2000,Rhode Island,44,50
Brain and Other Nervous System,31010-31040,Female,F,2000,South Carolina,45,109
Brain and Other Nervous System,31010-31040,Female,F,2000,Tennessee,47,158
Brain and Other Nervous System,31010-31040,Female,F,2000,Texas,48,612
Brain and Other Nervous System,31010-31040,Female,F,2000,Utah,49,56
Brain and Other Nervous System,31010-31040,Female,F,2000,Virginia,51,178
Brain and Other Nervous System,31010-31040,Female,F,2000,Washington,53,194
Brain and Other Nervous System,31010-31040,Female,F,2000,West Virginia,54,65
Brain and Other Nervous System,31010-31040,Female,F,2000,Wisconsin,55,173
Brain and Other Nervous System,31010-31040,Female,F,2001,Alabama,1,144
Brain and Other Nervous System,31010-31040,Female,F,2001,Arizona,4,162
Brain and Other Nervous System,31010-31040,Female,F,2001,Arkansas,5,76
Brain and Other Nervous System,31010-31040,Female,F,2001,California,6,903
Brain and Other Nervous System,31010-31040,Female,F,2001,Colorado,8,130
Brain and Other Nervous System,31010-31040,Female,F,2001,Connecticut,9,133
Brain and Other Nervous System,31010-31040,Female,F,2001,Delaware,10,28
Brain and Other Nervous System,31010-31040,Female,F,2001,Florida,12,588
Brain and Other Nervous System,31010-31040,Female,F,2001,Georgia,13,223
Brain and Other Nervous System,31010-31040,Female,F,2001,Hawaii,15,24
Brain and Other Nervous System,31010-31040,Female,F,2001,Idaho,16,29
Brain and Other Nervous System,31010-31040,Female,F,2001,Illinois,17,353
Brain and Other Nervous System,31010-31040,Female,F,2001,Indiana,18,195
Brain and Other Nervous System,31010-31040,Female,F,2001,Iowa,19,114
Brain and Other Nervous System,31010-31040,Female,F,2001,Kansas,20,90
Brain and Other Nervous System,31010-31040,Female,F,2001,Kentucky,21,120
Brain and Other Nervous System,31010-31040,Female,F,2001,Louisiana,22,114
Brain and Other Nervous System,31010-31040,Female,F,2001,Maine,23,39
Brain and Other Nervous System,31010-31040,Female,F,2001,Maryland,24,134
Brain and Other Nervous System,31010-31040,Female,F,2001,Massachusetts,25,211
Brain and Other Nervous System,31010-31040,Female,F,2001,Michigan,26,301
Brain and Other Nervous System,31010-31040,Female,F,2001,Minnesota,27,142
Brain and Other Nervous System,31010-31040,Female,F,2001,Missouri,29,177
Brain and Other Nervous System,31010-31040,Female,F,2001,Montana,30,24
Brain and Other Nervous System,31010-31040,Female,F,2001,Nebraska,31,60
Brain and Other Nervous System,31010-31040,Female,F,2001,Nevada,32,45
Brain and Other Nervous System,31010-31040,Female,F,2001,New Hampshire,33,41
Brain and Other Nervous System,31010-31040,Female,F,2001,New Jersey,34,296
Brain and Other Nervous System,31010-31040,Female,F,2001,New Mexico,35,34
Brain and Other Nervous System,31010-31040,Female,F,2001,New York,36,657
Brain and Other Nervous System,31010-31040,Female,F,2001,North Carolina,37,256
Brain and Other Nervous System,31010-31040,Female,F,2001,North Dakota,38,23
Brain and Other Nervous System,31010-31040,Female,F,2001,Ohio,39,382
Brain and Other Nervous System,31010-31040,Female,F,2001,Oklahoma,40,105
Brain and Other Nervous System,31010-31040,Female,F,2001,Oregon,41,109
Brain and Other Nervous System,31010-31040,Female,F,2001,Pennsylvania,42,416
Brain and Other Nervous System,31010-31040,Female,F,2001,Rhode Island,44,29
Brain and Other Nervous System,31010-31040,Female,F,2001,South Carolina,45,118
Brain and Other Nervous System,31010-31040,Female,F,2001,South Dakota,46,19
Brain and Other Nervous System,31010-31040,Female,F,2001,Tennessee,47,174
Brain and Other Nervous System,31010-31040,Female,F,2001,Texas,48,630
Brain and Other Nervous System,31010-31040,Female,F,2001,Utah,49,57
Brain and Other Nervous System,31010-31040,Female,F,2001,Vermont,50,20
Brain and Other Nervous System,31010-31040,Female,F,2001,Virginia,51,151
Brain and Other Nervous System,31010-31040,Female,F,2001,Washington,53,185
Brain and Other Nervous System,31010-31040,Female,F,2001,West Virginia,54,71
Brain and Other Nervous System,31010-31040,Female,F,2001,Wisconsin,55,173
Brain and Other Nervous System,31010-31040,Female,F,2002,Alabama,1,139
Brain and Other Nervous System,31010-31040,Female,F,2002,Arizona,4,149
Brain and Other Nervous System,31010-31040,Female,F,2002,Arkansas,5,64
Brain and Other Nervous System,31010-31040,Female,F,2002,California,6,936
Brain and Other Nervous System,31010-31040,Female,F,2002,Colorado,8,121
Brain and Other Nervous System,31010-31040,Female,F,2002,Connecticut,9,98
